absorbuoti, absorbuoja, absorbavo
lyžtelėti, lyžtelėja, lyžtelėjo
maigyti, maigo, maigė
mainyti, maino, mainė
maištauti, maištauja, maištavo
maišyti, maišo, maišė
maitinti, maitina, maitino
maldauti, maldauja, maldavo
maldyti, maldo, maldė
malonėti, malonėja, malonėjo
malšinti, malšina, malšino
malti, mala, malė
manipuliuoti, manipuliuoja, manipuliavo
mankštinti, mankština, mankštino
manyti, mano, manė
marginti, margina, margino
marguliuoti, marguliuoja, marguliavo
marguoti, marguoja, margavo
marinti, marina, marino
marinuoti, marinuoja, marinavo
masažuoti, masažuoja, masažavo
maskatuoti, maskatuoja, maskatavo
mąstyti, mąsto, mąstė
mąsyti, mąsto, mąstė
maudyti, maudo, maudė
mauti, mauna, movė
mažėti, mažėja, mažėjo
mazgoti, mazgoja, mazgojo
mažinti, mažina, mažino
medituoti, medituoja, meditavo
medžioti, medžioja, medžiojo
mėgdžioti, mėgdžioja, mėgdžiojo
mėginti, mėgina, mėgino
mėgti, mėgsta, mėgo
megzti, mezga, mezgė
meilikauti, meilikauja, meilikavo
melsti, meldžia, meldė
melsvinti, melsvina, melsvino
meluoti, meluoja, melavo
mėlynėti, mėlynėja, mėlynėjo
mėlyninti, mėlynina, mėlynino
mėlynuoti, mėlynuoja, mėlynavo
melžti, melžia, melžė
menkėti, menkėja, menkėjo
menkinti, menkina, menkino
merkti, merkia, merkė
meškerioti, meškerioja, meškeriojo
mesti, meta, metė
mėtyti, mėto, mėtė
mezgti, mezga, mezgė
mėžti, mėžia, mėžė
miaukti, miaukia, miaukė
miegoti,  miega,  miegojo
miešti, miešia, miešė
migdyti, migdo, migdė
migti, minga, migo
mikčioti, mikčioja, mikčiojo
minėti, mini, minėjo
minkyti, minko, minkė
minti, mina, mynė
mintyti, mintija, mintijo
mirgėti, mirga, mirgėjo
mirguliuoti, mirguliuoja, mirguliavo
mirkčioti, mirkčioja, mirkčiojo
mirksėti, mirksi, mirksėjo
mirktelėti, mirktelėja, mirktelėjo
mirkti, merka, mirko
mirti, miršta, mirė
misti, minta, mito
modifikuoti, modifikuoja, modifikavo
mojuoti, mojuoja, mojavo
mokėti, moka, mokėjo
mokinti, mokina, mokino
mokyti, moko, mokė
mokytojauti, mokytojauja, mokytojavo
montuoti, montuoja, montavo
mosikuoti, mosikuoja, mosikavo
mosuoti, mosuoja, mosavo
moti, moja, mojo
motyvuoti, motyvuoja, motyvavo
mūkti, mūkia, mūkė
murkti, murkia, murkė
murmėti, murma, murmėjo
mūryti, mūrija, mūrijo
mušinėti, mušinėja, mušinėjo
mušti, muša, mušė
mutuoti, mutuoja, mutavo
muturiuoti, muturiuoja, muturiavo
mūvėti, mūvi, mūvėjo
mykti, mykia, mykė
mylėti, myli, mylėjo
myluoti, myluoja, mylavo
myžti, myža, myžo
nagrinėti, nagrinėja, nagrinėjo
naikinti, naikina, naikino
nakvoti, nakvoja, nakvojo
nardyti, nardo, nardė
narplioti, narplioja, narpliojo
narstyti, narsto, narstė
naršyti, naršo, naršė
naudoti, naudoja, naudojo
naujinti, naujina, naujino
neabejoti, neabejoja, neabejojo
neigti, neigia, neigė
nekantrauti, nekantrauja, nekantravo
nekęsti, nekenčia, nekentė
paisyti, paiso, paisė
nerimauti, nerimauja, nerimavo
